NAME,0.0,1.0S,10.0S,1.0MI,10.0MI,1.0HR,10.0HR,1.0D,10.0D,50.0D,100.0D,142.0D
KR-79,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.347e-23,2.673e-21,6.115e-19,3.807e-18,1.791e-16,1.324e-15,3.314e-15,5.928e-15
KR-79M,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
KR-80,0.000e+00,3.606e-16,4.128e-15,4.195e-14,2.066e-12,4.208e-11,8.472e-10,2.368e-09,2.680e-08,1.465e-07,3.188e-07,4.819e-07
KR-81,0.000e+00,4.509e-17,5.404e-16,4.546e-15,5.299e-14,3.225e-13,3.273e-12,8.056e-12,1.330e-10,2.322e-09,9.454e-09,2.056e-08
KR-81M,0.000e+00,4.470e-17,3.575e-16,8.416e-16,8.802e-16,8.806e-16,8.913e-16,9.186e-16,1.830e-15,6.707e-15,1.322e-14,2.013e-14
KR-82,0.000e+00,5.418e-15,6.267e-14,6.509e-13,2.938e-11,5.091e-10,2.712e-08,1.424e-07,1.164e-05,2.922e-04,1.231e-03,2.653e-03
KR-83,0.000e+00,1.923e-13,1.925e-12,1.210e-11,3.778e-09,1.176e-06,4.610e-04,1.847e-03,2.401e-02,1.185e-01,2.261e-01,3.056e-01
KR-83M,0.000e+00,2.175e-13,3.533e-12,3.015e-10,1.941e-07,9.237e-06,2.246e-04,2.687e-04,2.690e-04,2.536e-04,2.427e-04,2.395e-04
KR-84,0.000e+00,1.768e-11,2.877e-10,7.068e-09,1.782e-06,8.445e-05,1.838e-03,4.641e-03,4.796e-02,2.421e-01,4.893e-01,7.029e-01
KR-85,0.000e+00,1.272e-10,1.272e-09,7.675e-09,1.292e-07,4.036e-06,2.614e-04,9.400e-04,1.237e-02,6.258e-02,1.238e-01,1.740e-01
KR-85M,0.000e+00,7.495e-10,1.001e-08,2.469e-07,2.465e-05,2.135e-04,1.259e-03,1.566e-03,1.588e-03,1.492e-03,1.422e-03,1.396e-03
KR-86,0.000e+00,4.018e-09,1.459e-07,3.027e-06,6.061e-05,3.928e-04,3.981e-03,9.563e-03,9.551e-02,4.736e-01,9.370e-01,1.318e+00
KR-87,0.000e+00,1.944e-08,2.487e-07,3.252e-06,7.298e-05,3.902e-04,9.399e-04,9.459e-04,9.312e-04,8.735e-04,8.304e-04,8.136e-04
KR-88,0.000e+00,6.494e-08,8.996e-07,9.299e-06,1.174e-04,6.521e-04,2.759e-03,3.013e-03,2.976e-03,2.791e-03,2.653e-03,2.599e-03
KR-89,0.000e+00,1.642e-07,2.072e-06,1.360e-05,6.379e-05,7.216e-05,7.212e-05,7.210e-05,7.100e-05,6.651e-05,6.311e-05,6.173e-05
KR-90,0.000e+00,2.095e-07,2.261e-06,8.862e-06,1.235e-05,1.235e-05,1.234e-05,1.234e-05,1.215e-05,1.138e-05,1.079e-05,1.055e-05
KR-91,0.000e+00,1.774e-07,1.361e-06,2.451e-06,2.476e-06,2.476e-06,2.475e-06,2.474e-06,2.436e-06,2.279e-06,2.160e-06,2.112e-06
KR-92,0.000e+00,7.272e-08,2.272e-07,2.325e-07,2.325e-07,2.325e-07,2.324e-07,2.323e-07,2.288e-07,2.142e-07,2.035e-07,1.996e-07
KR-93,0.000e+00,2.333e-08,5.536e-08,5.560e-08,5.560e-08,5.560e-08,5.557e-08,5.555e-08,5.469e-08,5.120e-08,4.866e-08,4.782e-08
KR-94,0.000e+00,4.001e-09,4.154e-09,4.154e-09,4.154e-09,4.154e-09,4.152e-09,4.150e-09,4.084e-09,3.810e-09,3.600e-09,3.513e-09
KR-95,0.000e+00,3.831e-10,5.108e-10,5.108e-10,5.108e-10,5.108e-10,5.106e-10,5.105e-10,5.039e-10,4.777e-10,4.645e-10,4.694e-10
KR-96,0.000e+00,5.814e-11,7.334e-11,7.334e-11,7.334e-11,7.334e-11,7.331e-11,7.329e-11,7.233e-11,6.851e-11,6.646e-11,6.693e-11
KR-97,0.000e+00,7.477e-13,7.548e-13,7.548e-13,7.548e-13,7.548e-13,7.546e-13,7.547e-13,7.482e-13,7.257e-13,7.321e-13,7.713e-13
KR-98,0.000e+00,1.187e-13,1.243e-13,1.243e-13,1.243e-13,1.243e-13,1.243e-13,1.243e-13,1.234e-13,1.202e-13,1.218e-13,1.285e-13
RB-100,0.000e+00,2.187e-13,2.189e-13,2.189e-13,2.189e-13,2.189e-13,2.189e-13,2.189e-13,2.171e-13,2.107e-13,2.125e-13,2.235e-13
RB-101,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
RB-85,0.000e+00,3.986e-12,4.126e-11,4.036e-10,2.000e-07,1.340e-05,9.603e-04,3.475e-03,4.590e-02,2.330e-01,4.628e-01,6.524e-01
RB-86,0.000e+00,1.358e-12,1.506e-11,1.301e-10,2.346e-09,1.539e-08,1.580e-07,3.952e-07,7.047e-06,7.975e-05,2.276e-04,4.022e-04
RB-86M,0.000e+00,2.993e-12,2.846e-11,1.310e-10,2.650e-10,2.653e-10,2.667e-10,2.707e-10,3.435e-10,6.999e-10,1.254e-09,1.906e-09
RB-87,0.000e+00,1.504e-10,1.662e-09,2.072e-08,3.142e-06,1.163e-04,4.214e-03,1.144e-02,1.228e-01,6.123e-01,1.212e+00,1.705e+00
